timestamp,h_ratio,v_ratio,gaze_x,gaze_y,target_x,target_y,final_x,final_y
1761241628.1168463,0.30419778044802215,0.3691946609961004,0,0,608.2077514469643,309.37040266657294,790.1082669842776,363.128947034276
1761241628.2612593,0.2937579752728662,0.3710597143592531,0,0,625.6313526573649,332.401873354389,757.2128841188951,356.9835322982986
1761241628.3923485,0.3038780037561047,0.3635097213371522,0,0,625.6313526573649,332.401873354389,730.8965778265891,352.0672005095167
1761241628.5267403,0.3336838634489437,0.3689080686030412,0,0,669.8853543594627,322.7250320099659,718.6943331331638,346.19876680960647
1761241628.6677806,0.33253723001253244,0.37070863242906626,0,0,669.8853543594627,322.7250320099659,708.9325373784235,341.50401984967834
1761241628.811608,0.3566442655276159,0.38409753393781426,0,0,713.5721411795805,350.2699774809419,709.860458138655,343.25721137593104
1761241628.9584465,0.3774885744855182,0.37754333898293263,0,0,713.5721411795805,350.2699774809419,710.6027947468401,344.6597645969332
1761241629.1001863,0.3822185411162642,0.39095821772005235,0,0,751.0657636268461,360.6778552359712,718.6953885228413,347.8633827247408
1761241629.2513676,0.35236101699028977,0.3774119751933164,0,0,751.0657636268461,360.6778552359712,725.1694635436422,350.4262772269869
1761241629.3916945,0.2940797172999317,0.3877842225815578,0,0,644.5751101121623,366.0687125377172,709.0505928573461,353.55476428913295
1761241629.5255604,0.27312520811894453,0.37703237317616534,0,0,644.5751101121623,366.0687125377172,696.1554963083095,356.0575539388498
1761241629.6616273,0.29211678806387936,0.3771073870010842,0,0,630.428309530874,344.81104998933455,683.0100589528224,353.80825314894673
1761241629.8029034,0.2721545929328871,0.3894765022229463,0,0,630.428309530874,344.81104998933455,672.4937090684327,352.00881251702424
1761241629.995627,0.27104427438088474,0.39504387976700006,0,0,625.7241278690747,383.7821913538165,663.1397928285612,358.3634882843827
1761241630.1303093,0.23388487544442438,0.4015155632586259,0,0,625.7241278690747,383.7821913538165,655.656659836664,363.44722889826943
1761241630.2806015,0.1889240780388177,0.3969845742783564,0,0,531.943074863118,398.6772258661486,630.9139428419547,370.4932282918453
1761241630.4213874,0.1830245840637901,0.3947682776005217,0,0,531.943074863118,398.6772258661486,611.1197692461874,376.130027806706
1761241630.5583913,0.1934744616684594,0.36658790478641284,0,0,503.5119929971054,336.80118222409766,589.598213996371,368.2642586901843
1761241630.698105,0.19988097156623513,0.39910750157711694,0,0,503.5119929971054,336.80118222409766,572.3809697965179,361.97164339696695
1761241630.8400798,0.19176668675015682,0.38474010101002654,0,0,521.669846715178,373.61710824446874,562.2387451802499,364.30073636646733
1761241630.9794524,0.22216443052091087,0.40200967909550833,0,0,521.669846715178,373.61710824446874,554.1249654872355,366.1640107420676
1761241631.119224,0.2569142712881677,0.3890135083327848,0,0,602.5219296094609,373.51724525604874,563.8043583116806,367.63465764486386
1761241631.251898,0.2447232281308068,0.3890135083327848,0,0,602.5219296094609,373.51724525604874,571.5478725712367,368.8111751671008
1761241631.3904305,0.2421345390367374,0.3939192948939755,0,0,590.7022390953498,385.382087925446,575.3787458760593,372.12535771876986
1761241631.5300088,0.23817635495719347,0.3916703167911847,0,0,590.7022390953498,385.382087925446,578.4434445199173,374.7767037601051
1761241631.662946,0.24729790310924332,0.38734748995019036,0,0,589.4381086716385,371.4453891346847,580.6423773502615,374.110440835021
1761241631.801209,0.25399041678881956,0.3797988687104189,0,0,589.4381086716385,371.4453891346847,582.4015236145369,373.5774304949537
1761241631.9483502,0.24998068671648205,0.39652377587400855,0,0,602.759927427245,389.58226927786467,586.4732043770786,376.7783982515359
1761241632.0866828,0.24998068671648205,0.3997676907480242,0,0,602.759927427245,389.58226927786467,589.7305489871119,379.33917245680163
1761241632.224034,0.2778912237836071,0.41429197013839075,0,0,655.0925900246318,421.6628249819244,602.8029571946158,387.80390296182617
1761241632.3609886,0.3357731581679816,0.39882604628301704,0,0,655.0925900246318,421.6628249819244,613.260883760619,394.5756873658458
1761241632.50839,0.3490594428952478,0.40477871725355,0,0,727.6719572782297,392.96936353079496,636.1430984641411,394.2544225988356
1761241632.6445453,0.3366311222136392,0.4032983257151718,0,0,727.6719572782297,392.96936353079496,654.4488702269588,393.99741078522754
1761241632.7857845,0.3245211360484442,0.39745453012614923,0,0,690.8739985278928,381.4886914514689,661.7338958871455,391.4956669184758
1761241632.9155462,0.268736283359557,0.4159655123607471,0,0,690.8739985278928,381.4886914514689,667.561916415295,389.4942718250744
1761241633.055073,0.19863789442064925,0.3987575517695629,0,0,545.2594863249718,400.95163500415566,643.1014303972303,391.78574446089067
1761241633.1905835,0.1943947634589003,0.40148528272091816,0,0,545.2594863249718,400.95163500415566,623.5330415827785,393.6189225695437
1761241633.3302534,0.16547254755946753,0.413140411799157,0,0,522.482724096095,434.37747126224366,603.3229780854418,401.77063230808375
1761241633.4723969,0.18240336427722167,0.4117806873849839,0,0,522.482724096095,434.37747126224366,587.1549272875725,408.29200009891576
1761241633.6118217,0.1872754712376557,0.4096354748158116,0,0,544.0624010798805,424.39684229416383,578.5364220460341,411.5129685379654
1761241633.746315,0.18142211659093962,0.3983671537359393,0,0,544.0624010798805,424.39684229416383,571.6416178528034,414.08974328920505
1761241633.8807676,0.2314983379119038,0.36873319423793854,0,0,550.3145430069635,336.03962077319494,567.3762028836354,398.47971878600305
1761241634.0115123,0.23436496806480459,0.40200967909550833,0,0,550.3145430069635,336.03962077319494,563.963870908301,385.9916991834414
1761241634.1553204,0.2127877408925204,0.38706917011592323,0,0,548.8131482465355,375.50005856838646,560.9337263759479,383.89337106043047
1761241634.2920618,0.2029603817299549,0.3678750423244238,0,0,548.8131482465355,375.50005856838646,558.5096107500655,382.21470856202166
1761241634.4281297,0.21825946608060987,0.3670774185592052,0,0,533.0101597716972,334.47291085302055,553.4097205543918,372.66634902022145
1761241634.5643659,0.2308472835684239,0.3670774185592052,0,0,533.0101597716972,334.47291085302055,549.3298083978528,365.0276613867813
1761241634.706689,0.2772822126583895,0.35934364523564577,0,0,593.3763804846287,310.99059072037625,558.139122815208,354.2202472535003
1761241634.8420541,0.29472706891127676,0.3664831732707325,0,0,593.3763804846287,310.99059072037625,565.1865743490921,345.5743159468755
1761241634.984866,0.3257170472206477,0.3546294686164164,0,0,644.7258538160779,295.0106685828093,581.0944302424892,335.46158647406224
1761241635.1260319,0.37337028477079715,0.3907598342536221,0,0,644.7258538160779,295.0106685828093,593.820714957207,327.3714028958116
1761241635.2640963,0.4600300688130716,0.3893477424347628,0,0,840.1798970847644,347.0246835923261,643.0925513827185,331.3020590351145
1761241635.3956726,0.5997748660993761,0.3833115095603827,0,0,840.1798970847644,347.0246835923261,682.5100205231277,334.4465839465568
1761241635.5433364,0.8959014208309792,0.4050810975513203,0,0,1366.84736258076,320.44005838061406,819.3774889346541,331.64527883336825
1761241635.6980631,1.2767135819243163,0.3800246929786283,0,0,1366.84736258076,320.44005838061406,928.8714636638754,329.4042347428174
1761241635.8543465,1.8127000147531036,0.3823666066671386,0,0,2412.665075840485,152.0372169889567,1225.630186099197,293.9308311920452
1761241635.9912872,2.2897382264183963,0.382720870399813,-4,-3,2412.665075840485,152.0372169889567,1463.0371640474546,265.55210835142753
1761241636.1370244,2.1880371065045643,0.39276282682852776,-3,-3,2833.177109921161,169.4446030965874,1737.065153222196,246.33060730045952
1761241636.2806666,1.9385313368331454,0.377777244537266,-2,-3,2833.177109921161,169.4446030965874,1919,230.9534064596851
1761241636.4270597,1.7772601831326083,0.3895789281011452,-4,-3,2363.5709343282824,226.8573536554349,1919,230.13419589883506
1761241636.5615222,1.4952583755269722,0.38502010384474833,-7,-2,2363.5709343282824,226.8573536554349,1919,229.47882745015505
1761241636.6977828,1.3000175334549395,0.34475105923682675,0,0,1771.9701421555008,144.7894587315903,1919,212.54095370644208
1761241636.990918,0.9996668758313273,0.3043800755178029,0,0,1771.9701421555008,144.7894587315903,1919,198.9906547114717
1761241637.1421292,0.8033624524862238,0.29788789725637266,0,0,1139.732082699154,116.75860904473478,1814.9635146980768,182.54424557812433
1761241637.3034565,0.7107079596438214,0.2788332610644205,0,0,1139.732082699154,116.75860904473478,1679.9172282982922,169.38711827144644
1761241637.4393384,0.7389487927563535,0.2975199110014707,0,0,1064.0732735899242,124.63206701950588,1556.7484373566185,160.43610802105832
1761241637.5770333,0.7975389391345982,0.3019699468084209,0,0,1064.0732735899242,124.63206701950588,1458.2134046032795,153.27529982074782
1761241637.7335887,0.8562057085861273,0.3014238068047597,0,0,1205.3910389489668,116.81792157728802,1407.648931472417,145.98382417205585
1761241637.8744497,0.9517143490155107,0.30512185001550923,0,0,1205.3910389489668,116.81792157728802,1367.197352967727,140.15064365310226
1761241638.0205724,1.0397093067745942,0.3172132632529388,0,0,1437.2960578417903,124.09994616364611,1381.2170939425396,136.94050415521104
1761241638.1630125,1.0468262550284515,0.3377050157575021,0,0,1437.2960578417903,124.09994616364611,1392.4328867223899,134.37239255689806
1761241638.3035119,1.1209736606855643,0.32059697606595744,0,0,1535.988550846732,120.05123881093226,1421.1440195472583,131.5081618077049
1761241638.4374473,1.111803971820536,0.3497861789863843,0,0,1535.988550846732,120.05123881093226,1444.1129258071528,129.21677720835038
1761241638.5744002,1.2004849851641972,0.40158946043693966,0,0,1718.7959221931076,272.6650149739971,1499.0495250843437,157.9064247614797
1761241638.7123547,1.2880648514907844,0.386975983893131,0,0,1718.7959221931076,272.6650149739971,1542.9988045060963,180.85814280398318
1761241638.8680463,1.3789217234991067,0.410627784770498,0,0,1937.2864168800027,267.0171569534852,1621.8563269808774,198.0899456338836
1761241639.0078049,1.4347479639651002,0.4099852355468084,0,0,1937.2864168800027,267.0171569534852,1684.9423449607025,211.8753878978039
1761241639.1403866,1.4963705749437446,0.42702572109841586,0,0,2092.6995445534094,284.3602932786168,1766.4937848792438,226.37236897396647
1761241639.2730746,1.4792556583533552,0.39223226531616906,0,0,2092.6995445534094,284.3602932786168,1831.734936814077,237.96995383489653
1761241639.517735,1.5392770880486517,0.40380356700451364,0,0,2117.042710772218,231.81514369646067,1888.7964916057051,236.73899180720937
1761241639.66437,1.4474155629631469,0.4097851939464405,0,0,2117.042710772218,231.81514369646067,1919,235.75422218505963
1761241639.8138661,1.326785125618724,0.4064349384864402,0,0,1871.723658731968,265.5392107825957,1919,241.71121990456683
1761241639.9554026,1.2464618146951147,0.43919437838858993,0,0,1871.723658731968,265.5392107825957,1911.8657878244735,246.4768180801726
1761241640.0936904,1.2388917463660418,0.4341526229292542,0,0,1799.8163095279356,333.1624223257135,1889.455892165166,263.81393892928077
